FileName;CellType;Agent;ShortName
GSM3146128_SNU_601_DMSO_HuGene-2_0-st_.CEL;SNU601;DMSO;SNU601_DMSO
GSM3146129_SNU_601_ortho_HuGene-2_0-st_.CEL;SNU601;Ortho;SNU601_Ortho
GSM3146130_SNU_601_para_HuGene-2_0-st_.CEL;SNU601;Para;SNU601_Para
GSM3146131_SNU_601_Meta_HuGene-2_0-st_.CEL;SNU601;Meta;SNU601_Meta
GSM3146132_SNU_216_DMSO_HuGene-2_0-st_.CEL;SNU216;DMSO;SNU216_DMSO
GSM3146133_SNU_216_ortho_HuGene-2_0-st_.CEL;SNU216;Ortho;SNU216_Ortho
GSM3146134_SNU_216_para_HuGene-2_0-st_.CEL;SNU216;Para;SNU216_Para
GSM3146135_SNU_216_Meta_HuGene-2_0-st_.CEL;SNU216;Meta;SNU216_Meta
GSM3146136_SNU668_DMSO_HuGene-2_0-st_.CEL;SNU668;DMSO;SNU668_DMSO
GSM3146137_SNU668_Ortho_HuGene-2_0-st_.CEL;SNU668;Ortho;SNU688_Ortho
GSM3146138_SNU668_Para_HuGene-2_0-st_.CEL ;SNU668;Para;SNU688_Para
GSM3146139_SNU668_Meta_HuGene-2_0-st_.CEL;SNU668;Meta;SNU688_Meta
GSM3146140_AGS_DMSO_HuGene-2_0-st_.CEL;AGS;DMSO;AGS_DMSO
GSM3146141_AGS_Ortho_HuGene-2_0-st_.CEL;AGS;Ortho;AGS_Ortho
GSM3146142_AGS_Para_HuGene-2_0-st_.CEL;AGS;Para;AGS_Para
GSM3146143_AGS_Meta_HuGene-2_0-st_.CEL;AGS;Meta;AGS_Meta
GSM3146144_MKN1_DMSO_HuGene-2_0-st_.CEL;MKN1;DMSO;MKN1_DMSO
GSM3146145_MKN1_Ortho_HuGene-2_0-st_.CEL;MKN1;Ortho;MKN1_Ortho
GSM3146146_MKN1_Para_HuGene-2_0-st_.CEL;MKN1;Para;MKN1_Para
GSM3146147_MKN1_Meta_HuGene-2_0-st_.CEL;MKN1;Meta;MKN1_Meta
